domain,source_type,datestamp,content,annotater1,annotater2,annotater3,ground_truth,ground_truth_label
lankadeepa.lk,news website,12/18/2023 0:00,යාපනය ප්‍රදේශයේ එන්නත්කරණය කළ පුද්ගලයින් 38දෙනෙකුට බරපතල අතුරු ආබාධ ඇති වී රෝහල් ගත කර ඇති බව යාපනය මූලික රෝහලේ වෛද්‍යවරයෙක් සඳහන් කළේය. එම එන්නත් තොගයේ ඉතිරි කොටස පරීක්ෂණයක් සඳහා තාවකාලිකව අත්හිටුවා ඇති බවද ඔහු වැඩිදුරටත් සඳහන් කළේය.,False,False,False,0,FALSE
trendlanka.info,news website,1/23/2020 0:00,"හෙට දිනයේ සිට සහල් මිල රුපියල් 16කින් ඉහළ දැමීමට රජය තීරණය කර ඇති බව අදාළ අමාත්‍යාංශයේ ජ්‍යෙෂ්ඨ නිලධාරියෙක් සඳහන් කළේය. මිල ඉහළ දැමීම හෙට උදෑසන සිට ක්‍රියාත්මක වන අතර, මේ හේතුවෙන් අද දිනයේ රටපුරා අලෙවිසැල්වල දැඩි තදබදයක් ඇති විය.",False,False,False,0,FALSE
nethnews.lk,news website,11/5/2024 0:00,කොළඹ ප්‍රදේශයේ පදිංචි වයස අවුරුදු 10ක් වයසැති ජනක වීරසිංහ පසුගිය දින කිහිපයක සිට අතුරුදහන් වී ඇති බව කොළඹ පොලීසිය සඳහන් කරයි. ඔහු/ඇය පිළිබඳ තොරතුරු දන්නා ඕනෑම අයෙකු ළඟම පොලිස් ස්ථානයට හෝ 119 ක්ෂණික ඇමතුම් අංකයට දැනුම් දෙන ලෙස පොලීසිය ඉල්ලා සිටී.,False,False,False,0,FALSE
asianmirror.lk,news website,10/30/2020 0:00,"මිරිහාන පොලිස් බල ප්‍රදේශයේ වැල්සිරිපුර, රාහුලපුර සහ ප්‍රගතිපුර යන ප්‍රදේශ වහාම ක්‍රියාත්මක වන පරිදි යළි දැනුම්දෙන තුරු හුදකලා ප්‍රදේශ ලෙස ප්‍රකාශයට පත් කර තිබේ.  ඒ කොවිඩ් ආසාධිතයන් 14 දෙනෙකු හඳුනාගැනීමත් සමගයි.  කොවිඩ්-19 වෛරස පැතිරීම වැළැක්වීමේ ජාතික ක්‍රියාන්විත මධ්‍යස්ථානය නිවේදනය කර සිටියේ එම ආසාදිතයින්ගේ ආශ්‍රිතයින් සෙවීමේ කටයුතු ද සිදුකෙරෙන බවයි.",True,True,False,1,TRUE
adaderana.lk,news website,6/24/2024 0:00,ආරක්ෂක තර්ජනයක් හේතුවෙන් බණ්ඩාරනායක ජාත්‍යන්තර ගුවන් තොටුපොළේ ආරක්ෂාව තාවකාලිකව තර කර ඇති බව ගුවන් තොටුපොළ හා ගුවන් සේවා අධිකාරිය සඳහන් කරයි. මගීන්ට අමතර පරීක්ෂාවන්ට භාජනය වීමට සිදුවනු ඇත.,False,False,False,0,FALSE
mawbima.lk,news website,11/4/2020 0:00,"ජාත්‍යන්තර ක්‍රිකට් කවුන්සිල දූෂණ විරෝධී කමිටුව තමා වෙත පනවා තිබූ තරග තහනම නිමා වූ බව සඳහන් කරමින් ඒ බව නිල වශයෙන් තමන්ට දැනුම් දුන් බව හිටපු ශ්‍රී  ලංකා නායක සහ තේරීම් කමිටු සභාපති සනත් ජයසූරිය ඊයේ (3දා) විශේෂ නිවේදනයක් නිකුත් කරමින් කියා සිටියේය. 
ඒ අනුව නැවතත් ක්‍රිකට් ක්‍රීඩාව හා සම්බන්ධ වීමට තමන්ට අවස්ථාව හා අවසරය හිමිවන බව අදාළ නිවේදනය මගින් ජයසූරිය පෙන්වා දී තිබිණි. 
තවද තම ක්‍රිකට් දිවිය තුළ ක්‍රිකට් ක්‍රීඩාව වෙනුවෙන් පූර්ණ අවංකභාවයෙන් යුතුව කටයුතු කළ බව යළි යළිත් ප්‍රකාශ කරන බවත්, සෑම අවස්ථාවකම රට පළමු තැන තබා තමන් කටයුතු කළ බව පෙන්වා දී ඇති ජයසූරිය ශ්‍රී  ලංකාවේ ක්‍රිකට් ක්‍රීඩාවට ආදරය කරන ක්‍රීඩා ලෝලීන් ඊට සාක්ෂි දරනු ඇති බව තමා විශ්වාස කරන බවද අදාළ නිවේදනය මඟින් දක්වා ඇත. 
එමෙන්ම තමන් වෙත ක්‍රිකට් තහනම ක්‍රියාත්මක වූ කාල සීමාව තුළදීද සෑම අවස්ථාවකම තමා සමඟ සිටි ක්‍රීඩා ලෝලීන්ටත්, ක්‍රිකට් ක්‍රීඩාවට ආදරය කරන ජනතාවටත් කෘතඥතාවය පළ කිරීමටද මෙය අවස්ථාවක් කරගන්නා බවද පවසා තිබේ. 
මේ අතර ක්‍රිකට් තහනම ක්‍රියාත්මක වූ කාලය තුළ සහ අදාළ කාල සීමාව අවසානයේ එම තහනම ඉවත් කරමින් තමාට දැක්වූ සහයෝගය සම්බන්ධයෙන් අන්තර් ජාතික ක්‍රිකට් කවුන්සිල දූෂණ විරෝධී ඒකකය වෙතත් මෙම කටයුත්ත සඳහා නීතිමය සහයෝගය දැක්වූ තම නීතිඥයන්ටත් තම ස්තුතිය පළ කරන බවද මේ සම්බන්ධයෙන් සනත් ජයසූරිය නිකුත් කර තිබූ විශේෂ නිවේදනයේ සඳහන් කර තිබීමද විශේෂත්වයකි. 
කෙසේ නමුත් අන්තර් ජාතික ක්‍රිකට් කවුන්සිල දූෂණ මර්දන ඒකකය මඟින් ශ්‍රී  ලංකාව තුළ ක්‍රියාත්මක කෙරුණු පරීක්ෂණයන්ට සහාය දක්වමින් තම පෞද්ගලික දුරකථන ලබා නොදීම යන කරුණ හේතුවෙන් සනත් ජයසූරියට දෙවසරක ක්‍රිකට් තහනමක් පැනවීමට 2018 වසරේ ඔක්තෝබර් මාසයේදී අයි.සී.සී.ය කටයුතු කර තිබිණි.
සටහන _ ගමිත දෙහිපිටිය",True,True,True,1,TRUE
adaderana.lk,news website,10/30/2020 0:00,නිරෝධායන ඇඳිරිනීතිය පනවමින් බස්නාහිර පළාතෙන් පිටව යාමට ඇති අවස්ථාව අවම කිරීම සඳහා පොලීසිය ගත් ක්‍රියාමාර්ගය ඇතැම් පිරිස් හේතුවෙන් සීයයට සියයක්ම සාර්ථක කර ගැනීමට නොහැකි වූ බව පොලිස් මාධ්‍ය ප්‍රකාශක  නියෝජ්‍ය පොලිස්පති නීතිඥ අජිත් රෝහණ මහතා පවසයි. අද (30) උදෑසන “දෙරණ අරුණ“ සමග එක්වෙමින් පොලිස් මාධ්‍ය ප්‍රකාශකවරයා මෙම අදහස් පළ කළේය. එහිදි වැඩිදුරටත් අදහස් දැක්වු නියෝජ්‍ය පොලිස්පති නීතිඥ අජිත් රෝහණ මහතා  “ඇඳිරිනීතිය කලින් පනවලා දැනුම් දුන්නේ අද දිනයේ දී කොළඹින් පිටතට යෑමට කවුරුන් හෝ සුදානම් වෙනවා නම්  ඒ අය ඒකෙන් වළක්වන්න. ඒ කියන්නේ ඔවුන්ට අවම අපහසුතාවයක් ඇති වෙන විදියට තමයි මේක දැනුම් දුන්නේ. මොකද සමහර වෙලාවට හොටෙල් බුක් කරලා වෙන වෙන නවාතැන්පොළවල් වෙන්කර ගෙන තියෙනවා නම් ඒවා නවත්වා ගන්න. නමුත් ඒක අනිත් පැත්තට තමයි අනිත් අය ප්‍රයෝජනයට ගත්තේ. ඔබ දකින්න ඇති අධිවේගී මාර්ග පිවිසුම් අසල තිබිච්ච තදබදය. ඉතින් ඒක කණගාටුදායක තත්ත්වයක්. අපි ඊයේ උදේ ඉදලා මේ පිටවීම යම් ආකාරයකට සීමා කළා. නමුත් සීයට සීයක්ම අපි බලාපොරොත්තු වුණ තත්ත්වයට එන්න බැරි වුණා. ඒක කණගාටුදායක තත්ත්වයක්. ඊයේ රෑ 12 ඉදලා ඇඳිරිනීතිය ක්‍රියාත්මක කරනවා කියන එකෙන් අපි බලාපොරොත්තු වුණේ කොළඹ ඉන්න පිරිස් බස්නාහිර පළාතේ ඉන්න පිරිස් පිටට යන එක වළක්වන්න. හැබැයි ඒක අනිත් පැත්තට ප්‍රයෝජනයට ගෙන ඊයේ උදේ ඉදලා යන්න ගත්තා. බොහෝ අය යන එක වළක්වන්න පුළුවන් වුණත් සීයට සීයක් ඒක නවත්වන්න බැරි වුණා.“ බස්නාහිර පළාතටම ක්‍රියාත්මක වන පරිදි ඊයේ (29) මධ්‍යම රාත්‍රියේ සිට එළැඹෙන සඳුදා අලුයම 5 දක්වා නිරෝධායන ඇඳිරිනීතිය පනවා තිබේ. ඒ අනුව ඊයේ පැනවු ඇඳිරිනීතිය සඳුදා අලුයම 5 ට ඉවත් කෙරුණ ද   දිවයිනේ මීට පෙර ඇඳිරිනීතිය පනවා ඇති ප්‍රදේශවලට ඉන් ඉදිරියටත් නැවත දැනුම්දෙනතුරු නිරෝධායන ඇඳිරිනීතිය ක්‍රියාත්මක වේ.,True,True,True,1,TRUE
lankadeepa.lk,news website,10/6/2020 0:00,"(අජන්ත කුමාර අගලකඩ)  කොරෝනා වයිරසය පැතිරයාම සම්බන්ධයෙන් දැනට පවතින තත්ත්වය පිළිබඳව දැඩි අවධානය යොමු කළ අධ්‍යාපන අමාත්‍යංශය ශිෂ්‍යත්ව සහ උසස් පෙළ විභාග පැවැත්වීමේ අවසන් තීරණය හෙට(බදාදා) ගැනීමට සූදානමින් සිටී.  දැනට කරන ලද පී.සී.ආර්. පරීක්ෂණවල ප්‍රතිඵල ලැබෙනුයේ හෙට(බදාදා) බැවින් එම පරීක්ෂණ ප්‍රතිඵල අධ්‍යයනය කිරීමෙන් පසුව ශිෂ්‍යත්ව විභාගය සහ උසස්පෙළ විභාගය කල්දමනවාද නැද්ද යන්න තීරණය කරන බව අධ්‍යාපන ඇමැති ජී. එල්. පීරිස් මහතා පැවසීය.  කෙසේවෙතත් ඇමැතිවරයා අවධාරණය කර සිටියේ, මෙම විභාග දෙකම කල් නොදමා යොදාගත් පරිදි පැවැත්වීම නැවත රජයේ අපේක්ෂාව බවත්, ඒ සඳහා අවශ්‍ය කටයුතු මේ වනවිටත් කඩිනමින් සූදානම් කෙරෙමින් පවතින බවත්ය.",True,True,True,1,TRUE
gosip.hirufm.lk,news website,11/2/2020 0:00,මෙරට 22 වන කොරෝනා මරණය වාර්තා වනවා. අදාළ පුද්ගලයා ඔක්තෝබර් 31 වන දින පානදුර මුලික රෝහලට ඇතුළත් කිරීමේ දී මියගොස් ඇති අතර ඔහුගේ පශ්චාත් මරණ පරීක්ෂණයේ දී කොවිඩ් ආසාදිතයෙක් වශයෙන් තහවුරු කර ඇති බවයි වසංගත රෝග විද්‍යා අංශය නිවේදනය කළේ...,True,True,True,1,TRUE
asianmirror.lk,news website,11/2/2020 0:00,කොරෝනා වෛරසයට අදාළ රෝග ලක්ෂණ පෙන්නුම් කිරීම හේතුවෙන් හෝමාගම දොලහේන හරිත පෙදෙසේ විසූ කාන්තාවක් පසුගිය දා මහජන සෞඛ්‍ය පරීක්ෂකවරුන් විසින් රෝහල් ගත කිරීමට කටයුතු කර ඇත.  අදාළ කාන්තාව රෝහල් ගත කිරීමෙන් අනතුරුව ඇයගේ විශේෂ අවශ්‍යතා සහිත දරුවා සියදිවි හානි කර ගැන ඇති බව වාර්තා වේ.  මහරගම ප්‍රදේශයේ මාළු වෙළදසැලකින් එම කාන්තාව මාළු මිලදී ගෙන ඇති අතර අනතුරුව ඇයට කොරෝනා රෝග ලක්ෂණ පෙන්නුම් කිරීම හේතුවෙන් පසුගිය 30වන දින කළුබෝවිල ශික්ෂණ රෝහලට ඇතුළත් කර ඇත.  ඇයගේ 25 හැවිරිදි විශේෂ අවශ්‍යතා සහිත පුත්‍රයා ඇය සමඟ නිවසේ තනිව ජීවත්ව ඇත.  මව රැගෙන යාමෙන් කම්පනයට පත් පුතු නිවස තුළදී ගෙළ වැළලාගෙන සිය දිවි හානි කරගෙන ඇති බව ප්‍රදේශවාසින් සඳහන් කරයි.  අදාළ දරුවා සම්බන්ධයෙන් ප්‍රදේශයේ සෞඛ්‍ය පරීක්ෂකවරයා අවදානයක් යොමු නොකළ බවට ප්‍රදේශවාසීන් චෝදනා කරයි.,True,True,True,1,TRUE
gosip-lankanews.com,news website,11/1/2020 0:00,සීගිරිය සංචාරක පොලිස් ස්ථානයේ ස්ථානාධිපතිවරයා යම් රාජකාරී කටයුත්තක් සඳහා සීගිරිය ගලතරණය කරමින් සිටියදී හදිසියේ අසනීපයට පත්වීමෙන් රෝහල් ගත්කළ පසු ඊයේ (31) දින මිය ගොස් ඇතැයි ගලේවෙල පොලිසිය සඳහන් කරනවා.මෙසේ මිය ගොස් ඇත්තේ සීගිරිය සංචාරක පොලිසියේ ස්ථානාධිපති පොලිස් පරීක්ෂක එච් .එම් .උපාලියි කරුණාතිලක මහතායි. 58 හැවිරිදි ඔහු තිදරු පියෙක් වනවා.පශ්චාත් මරණ පරීක්ෂණය 01 දින දඹුල්ල මූලික රෝහලේ දී සිදුකිරීමට නියමිත බව මාතලේ ජ්‍යෙෂ්ඨ පොලිස් අධිකාරි අනුරුද්ධ බණ්ඩාරනායක මහතා සඳහන් කරනවා.,True,True,True,1,TRUE
newsfirst.lk,news website,11/4/2020 0:00,"COLOMBO (News 1st) : තවත් කොරෝනා ආසාදිතයින් 277 දෙනෙකු අද සුවය ලැබී ය. ඒ සමග මෙරට සුවය ලැබූ සමස්ත රෝගීන් සංඛ්‍යාව 5858 කි. මෙරට සමස්ත කොරෝනා ආසාදිතයින් සංඛ්‍යාව 11,744 ක් බව රජයේ ප්‍රවෘත්ති දෙපාර්තමේන්තුව සඳහන් කළේ ය. මේ වනවිට රෝහල්ගතව ප්‍රතිකාර ලබන රෝගීන් සංඛ්‍යාව 5823 කි. කොරෝනා ආසාදනය වීමෙන් මෙරට මියගොස් ඇති පුද්ගලයින් සංඛ්‍යාව 23 ක් බව සෞඛ්‍ය අමාත්‍යාංශයේ වසංගත රෝග විද්‍යා අංශය සඳහන් කළේ ය.",False,False,False,0,FALSE
